id,홍,태훈,수환,철승,result,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
00000.png,16,16,16,16,OK,,,True,16.0
00001.png,1,1,1,1,OK,,,False,1.0
00002.png,38,38,38,38,OK,,,,38.0
00003.png,33,33,33,33,OK,,,,33.0
00004.png,11,11,11,11,OK,,,,11.0
00005.png,38,38,38,38,OK,,,,38.0
00006.png,18,18,18,18,OK,,,,18.0
00007.png,12,12,12,12,OK,,,,12.0
00008.png,25,25,25,25,OK,,,,25.0
00009.png,35,35,35,35,OK,,,,35.0
00010.png,12,12,12,12,OK,,,,12.0
00011.png,7,7,7,7,OK,,,,7.0
00012.png,23,23,23,23,OK,,,,23.0
00013.png,7,7,7,7,OK,,,,7.0
00014.png,4,4,4,4,OK,,,,4.0
00015.png,9,9,9,9,OK,,,,9.0
00016.png,21,21,21,21,OK,,,,21.0
00017.png,20,20,20,20,OK,,,,20.0
00018.png,27,27,27,27,OK,,,,27.0
00019.png,38,38,38,38,OK,,,,38.0
00020.png,4,4,4,4,OK,,,,4.0
00021.png,33,33,33,33,OK,,,,33.0
00022.png,9,9,9,9,OK,,,,9.0
00023.png,3,3,3,3,OK,,,,3.0
00024.png,1,1,1,1,OK,,,,1.0
00025.png,11,11,11,11,OK,,,,11.0
00026.png,13,13,13,13,OK,,,,13.0
00027.png,10,10,10,10,OK,,,,10.0
00028.png,9,9,9,9,OK,,,,9.0
00029.png,11,11,11,11,OK,,,,11.0
00030.png,5,5,5,5,OK,,,,5.0
00031.png,17,17,17,17,OK,,,,17.0
00032.png,34,34,34,34,OK,,,,34.0
00033.png,23,23,23,23,OK,,,,23.0
00034.png,2,2,2,2,OK,,,,2.0
00035.png,17,17,17,17,OK,,,,17.0
00036.png,3,3,3,3,OK,,,,3.0
00037.png,12,12,12,12,OK,,,,12.0
00038.png,16,16,16,16,OK,,,,16.0
00039.png,8,8,8,8,OK,,,,8.0
00040.png,7,7,7,7,OK,,,,7.0
00041.png,30,30,30,30,OK,,,,30.0
00042.png,18,18,18,18,OK,,,,18.0
00043.png,12,12,12,12,OK,,,,12.0
00044.png,24,24,24,24,OK,,,,24.0
00045.png,25,25,25,25,OK,,,,25.0
00046.png,3,3,3,3,OK,,,,3.0
00047.png,10,10,10,10,OK,,,,10.0
00048.png,18,18,18,18,OK,,,,18.0
00049.png,8,8,8,8,OK,,,,8.0
00050.png,25,25,25,25,OK,,,,25.0
00051.png,13,13,13,13,OK,,,,13.0
00052.png,15,15,15,15,OK,,,,15.0
00053.png,9,9,9,9,OK,,,,9.0
00054.png,13,13,13,13,OK,,,,13.0
